header_text,merchant_label,location_label
LOTUSS STORES (MALAYSIA) SDN. BHD ENANG EGAIE , LOTUSS , PENANG EGATE
LOTUSS STORES (MALAYSIA) SDN. BHD PENANG EGATE , LOTUSS , PENANG EGATE
MYDIN nntt HUKIT MERTAJAH CUTTEn RNIeE, MYDIN , BUKIT MARTAJAM
99 SPEED MART SDN- BHD. 2868-PG GRAVITAS BUSINESS PARK,99 SPEED MART,GRAVITAS BUSINESS PARK
"TEALIVE Lot G-45, Sunway Pyramid, Bandar Sunway, 47500 Petaling Jaya, Selangor",TEALIVE,SUNWAY PYRAMID
MCD0NALDS Lot LG-1 Sunway Pyramid 47500 Petaling Jaya Selangor,MCDONALDS,SUNWAY PYRAMID
"OLDTOWN WHITE COFFEE Lot L2-10, Gateway@KLIA2, 64000 Sepang, Selangor",OLDTOWN_WHITE_COFFEE,KLIA2
"MYDIN MYDIN WHOLESALE HYPERMARKET KUANTAN Jalan Gambut, 25300 Kuantan, Pahang",MYDIN,KUANTAN
"NSK TRADE CITY Jalan Besar, 09000 Kulim, Kedah",NSK_TRADE_CITY,KULIM
"MYDIN MYDIN WHOLESALE HYPERMARKET BUKIT MERTAJAM Lot 1234, Jalan Rozhan, Alma, 14000 Bukit Mertajam, Penang",MYDIN,BUKIT MERTAJAM
"FAMILYMART Jalan SS16/1, 47500 Subang Jaya, Selangor",FAMILYMART,SUBANG PARADE
"HERO MARKET Jalan Desa 2, Taman Desa, 58100 Kuala Lumpur",HERO_MARKET,TAMAN DESA
"OLDTOWN WHITE COFFEE Lot L2-10, Gateway@KLI42, 64000 Sepang, Selangor",OLDTOWN_WHITE_COFFEE,KLIA2
"VILLAG3 GROC3R 1 Lebuh Bandar Utama, 47800 Petaling Jaya, Selangor",VILLAGE_GROCER,ONE UTAMA
"SEVEN ELEVEN Jalan Air Itam, 10560 George Town, Penang",SEVEN_ELEVEN,PENANG HILL
"GIANT Jalan Sultan Iskandar, 30000 Ipoh, Perak",GIANT,IPOH
"SEVEN ELEVEN Jalan Air Itam, 10560 George Town, Penang",SEVEN_ELEVEN,PENANG HILL
"VILLAGE GROCER Jalan PJU 5/14, Kota Damansara, 47810 Petaling Jaya, Selangor",VILLAGE_GROCER,SUNWAY GIZA
JAYA GROCER Lot LG-102 Bandar Utama 47800 Petaling Jaya Selangor,JAYA_GROCER,ONE UTAMA
"TEALIVE 100 Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",TEALIVE,QUEENSBAY MALL
FAMILYMART Lot G-12 Mid Valley Megamall 59200 Kuala Lumpur,FAMILYMART,MID VALLEY
"HERO MARKET Jalan PJS 11/20, Bandar Sunway, 47500 Petaling Jaya, Selangor",HERO_MARKET,BANDAR BARU SUNWAY
"GI4NT Jalan Sultan Iskandar, 30000 Ipoh, Perak",GIANT,IPOH
"FAMILYMART Jalan SS16/1, 47500 Subang Jaya, Selangor",FAMILYMART,SUBANG PARADE
"TEALIVE Lot G-45, Sunway Pyramid, Bandar Sunway, 47500 Petaling Jaya, Selangor",TEALIVE,SUNWAY PYRAMID
"GIANT Jalan Sultan Iskandar, 30000 Ipoh, Perak",GIANT,IPOH
"TESCO LOTUS Lot 789, Jalan Todak, 13700 Perai, Penang",TESCO_LOTUS,SEBERANG JAYA
"TE4LIVE 100 Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",TEALIVE,QUEENSBAY MALL
"OLDTOWN WHITE COFFEE Lot L2-10, Gateway@KLIA2, 64000 Sepang, Selangor",OLDTOWN_WHITE_COFFEE,KLIA2
"J4Y4 GROC3R Lot LG-18, Jalan Putra, 50350 Kuala Lumpur",JAYA_GROCER,SUNWAY PUTRA MALL
"J4Y4 GROCER Lot G-12, Jalan Lingkaran Tengah 2, 53100 Kuala Lumpur",JAYA_GROCER,KL EAST MALL
"MYDIN MYDIN WHOLESALE HYPERMARKET SUBANG JAYA USJ 1, Persiaran Subang Permai, 47600 Subang Jaya, Selangor",MYDIN,SUBANG JAYA
"FAMILYMART Jalan SS16/1, 47500 Subang Jaya, Selangor",FAMILYMART,SUBANG PARADE
"GIANT Jalan Haji Abdul Wahab, 08000 Sungai Petani, Kedah",GIANT,SUNGAI PETANI
"AEON BIG 100 Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",AEON_BIG,QUEENSBAY MALL
"FAMILYMART Jalan SS16/1, 47500 Subang Jaya, Selangor",FAMILYMART,SUBANG PARADE
"FAMILYMART Lot G-12, Mid Valley Megamall, 59200 Kuala Lumpur",FAMILYMART,MID VALLEY
4EON BIG 100 Persiaran Bayan Indah 11900 Bayan Lepas Penang,AEON_BIG,QUEENSBAY MALL
"TESCO LOTUS Lot 88, Jalan Puchong Jaya, 47100 Puchong, Selangor",TESCO_LOTUS,PUCHONG
"VILLAGE GROCER 1 Lebuh Bandar Utama, 47800 Petaling Jaya, Selangor",VILLAGE_GROCER,ONE UTAMA
"NSK TR4D3 CITY Jalan Sultan 4hmad, 10050 Penang",NSK_TRADE_CITY,PENANG
"TESCO LOTUS Lot 3456, Jalan Rozhan, 14000 Bukit Mertajam, Penang",TESCO_LOTUS,ALMA
"NSK TRADE CITY Lot 45, Jalan Merbok, 08000 Sungai Petani, Kedah",NSK_TRADE_CITY,SUNGAI PETANI
"JAYA GROCER Lot LG-26, Persiaran Gurney, 10250 Pulau Pinang",JAYA_GROCER,GURNEY PARAGON MALL
"FAMILYMART Jalan SS16/1, 47500 Subang Jaya, Selangor",FAMILYMART,SUBANG PARADE
"MYDIN MYDIN WHOLESALE HYPERMARKET KUANTAN Jalan Gambut, 25300 Kuantan, Pahang",MYDIN,KUANTAN
"F4MILYM4RT Lot G-12, Mid Valley Megamall, 59200 Kuala Lumpur",FAMILYMART,MID VALLEY
"HERO MARKET Jalan PJS 11/20, Bandar Sunway, 47500 Petaling Jaya, Selangor",HERO_MARKET,BANDAR BARU SUNWAY
"VILLAGE GROCER Jalan PJU 5/14, Kota Damansara, 47810 Petaling Jaya, Selangor",VILLAGE_GROCER,SUNWAY GIZA
"MCDONALDS Lot LG-1, Sunway Pyramid, 47500 Petaling Jaya, Selangor",MCDONALDS,SUNWAY PYRAMID
"JAYA GROCER Lot LG-26, Persiaran Gurney, 10250 Pulau Pinang",JAYA_GROCER,GURNEY PARAGON MALL
"JAYA GROC3R Lot LG-102, Bandar Utama, 47800 Petaling Jaya, Selangor",JAYA_GROCER,ONE UTAMA
TEALIVE Lot G-45 Sunway Pyramid Bandar Sunway 47500 Petaling Jaya Selangor,TEALIVE,SUNWAY PYRAMID
"T3ALIV3 100 Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",TEALIVE,QUEENSBAY MALL
"AEON BIG Persiaran Kewajipan, 47500 Subang Jaya, Selangor",AEON_BIG,SUBANG JAYA
MYDIN MYDIN WHOLES4LE HYPERM4RKET IPOH Jalan Sultan 4zlan Shah 31400 Ipoh Perak,MYDIN,IPOH
"HERO MARKET Jalan Desa 2, Taman Desa, 58100 Kuala Lumpur",HERO_MARKET,TAMAN DESA
"SEVEN ELEVEN Jalan Air Itam, 10560 George Town, Penang",SEVEN_ELEVEN,PENANG HILL
"MCDON4LDS Lot 10, KLCC, Jalan 4mpang, 50088 Kuala Lumpur",MCDONALDS,KLCC
"NSK TRADE CITY Jalan Besar, 09000 Kulim, Kedah",NSK_TRADE_CITY,KULIM
"TESCO LOTUS Lot 3456, Jalan Rozhan, 14000 Bukit Mertajam, Penang",TESCO_LOTUS,ALMA
"OLDTOWN WHITE COFFEE 100 Persiaran Bayan Indah, 11900 Bayan Lepas, Penang",OLDTOWN_WHITE_COFFEE,QUEENSBAY MALL
"NSK TRADE CITY Jalan Besar, 09000 Kulim, Kedah",NSK_TRADE_CITY,KULIM
"MCDONALDS Lot 10, KLCC, Jalan Ampang, 50088 Kuala Lumpur",MCDONALDS,KLCC
"AE0N BIG Persiaran Kewajipan, 47500 Subang Jaya, Selangor",AEON_BIG,SUBANG JAYA
"JAYA GR0CER Lot LG-26, Persiaran Gurney, 10250 Pulau Pinang",JAYA_GROCER,GURNEY PARAGON MALL
"AEON BIG Persiaran Kewajipan, 47500 Subang Jaya, Selangor",AEON_BIG,SUBANG JAYA
"TESCO LOTUS Lot 3456, Jalan Rozhan, 14000 Bukit Mertajam, Penang",TESCO_LOTUS,ALMA
"NSK TRADE CITY Jalan Sultan Ahmad, 10050 Penang",NSK_TRADE_CITY,PENANG
"TEALIVE Lot G-45, Sunway Pyramid, Bandar Sunway, 47500 Petaling Jaya, Selangor",TEALIVE,SUNWAY PYRAMID
"SEVEN ELEVEN No. 12, Lorong Maarof, Bangsar, 59000 Kuala Lumpur",SEVEN_ELEVEN,BANGSAR
"GIANT Jalan Haji Abdul Wahab, 08000 Sungai Petani, Kedah",GIANT,SUNGAI PETANI
"JAYA GROCER Lot LG-18, Jalan Putra, 50350 Kuala Lumpur",JAYA_GROCER,SUNWAY PUTRA MALL
"MCDONALDS Lot 10, KLCC, Jalan Ampang, 50088 Kuala Lumpur",MCDONALDS,KLCC
"VILLAGE GROCER 1 Lebuh Bandar Utama, 47800 Petaling Jaya, Selangor",VILLAGE_GROCER,ONE UTAMA
"AEON BIG Persiaran Kewajipan, 47500 Subang Jaya, Selangor",AEON_BIG,SUBANG JAYA
"NSK TRADE CITY Jalan Sultan Ahmad, 10050 Penang",NSK_TRADE_CITY,PENANG
"HER0 MARKET Jalan PJS 11/20, Bandar Sunway, 47500 Petaling Jaya, Selangor",HERO_MARKET,BANDAR BARU SUNWAY
"NSK TRADE CITY Jalan Besar, 09000 Kulim, Kedah",NSK_TRADE_CITY,KULIM
"KFC Lot 6.02, Pavilion Kuala Lumpur, 55100 Kuala Lumpur",KFC,PAVILION KL
"AEON BIG Persiaran Kewajipan, 47500 Subang Jaya, Selangor",AEON_BIG,SUBANG JAYA
"SEVEN ELEVEN No. 12, Lorong Maarof, Bangsar, 59000 Kuala Lumpur",SEVEN_ELEVEN,BANGSAR
